date_from,date_to,tier,map,legend,abi_1,abi_2,charm_1,charm_2,match_count,win_count
2023-11-05,2023-11-12,silver3,4009,134,3,4,6,1,2,0
2023-11-05,2023-11-12,silver3,4003,134,3,5,6,1,1,0
2023-11-05,2023-11-12,silver3,4006,134,5,3,6,5,1,0
2023-11-05,2023-11-12,silver3,4008,135,1,0,5,3,1,0
2023-11-05,2023-11-12,silver3,4005,135,1,0,5,3,1,0
2023-11-05,2023-11-12,silver3,4006,135,2,5,6,4,1,0
2023-11-05,2023-11-12,silver3,4008,135,3,2,3,2,1,0
2023-11-05,2023-11-12,silver3,4009,135,5,2,2,3,1,0
2023-11-05,2023-11-12,silver3,4006,135,5,2,2,3,1,0
2023-11-05,2023-11-12,silver3,4009,135,5,3,4,5,1,0
2023-11-05,2023-11-12,silver3,4007,135,5,3,4,5,1,0
2023-11-05,2023-11-12,silver3,4003,135,5,3,4,5,1,1
2023-11-05,2023-11-12,silver3,4007,136,1,5,2,1,1,1
2023-11-05,2023-11-12,silver3,4006,136,5,4,2,3,1,0
2023-11-05,2023-11-12,silver3,4007,137,2,5,1,4,1,1
2023-11-05,2023-11-12,silver3,4008,137,2,5,1,4,2,1
2023-11-05,2023-11-12,silver3,4009,137,2,5,1,4,3,1
