date_from,date_to,tier,map,legend,match_count,win_count,win_pct,abi1,abi2,abi3,abi4,abi5,abi0,e_blue,e_pink,e_yellow,e_green,e_red,e_gray
2023-11-05,2023-11-12,silver3,proto,don,1,0,0.0,1,0,0,0,1,0,0,0,0,0,1,1
2023-11-05,2023-11-12,silver3,noon,don,4,0,0.0,1,0,0,0,1,0,0,0,0,0,1,1
2023-11-05,2023-11-12,silver3,night,don,5,4,80.0,1,0,0,0,1,0,0,0,0,0,1,1
2023-11-05,2023-11-12,silver3,fac,don,1,0,0.0,1,0,0,0,1,0,1,0,0,0,0,1
2023-11-05,2023-11-12,silver3,sunset,don,1,0,0.0,0,1,0,0,1,0,0,0,0,1,0,1
2023-11-05,2023-11-12,silver3,proto,don,2,0,0.0,0,1,0,0,1,0,0,0,0,1,1,0
2023-11-05,2023-11-12,silver3,strato,don,2,2,100.0,0,1,0,0,1,0,0,0,0,1,1,0
2023-11-05,2023-11-12,silver3,noon,don,1,1,100.0,0,1,0,0,1,0,0,0,0,1,1,0
2023-11-05,2023-11-12,silver3,fac,don,1,0,0.0,0,1,0,0,1,0,0,0,0,0,1,1
2023-11-05,2023-11-12,silver3,proto,don,3,2,66.66666666666666,0,0,0,1,1,0,0,1,1,0,0,0
2023-11-05,2023-11-12,silver3,strato,don,1,1,100.0,0,0,0,1,1,0,0,1,1,0,0,0
2023-11-05,2023-11-12,silver3,night,don,1,0,0.0,0,0,0,1,1,0,1,0,0,0,0,1
2023-11-05,2023-11-12,silver3,fac,rapunzel,2,0,0.0,1,0,1,0,0,0,1,1,0,0,0,0
2023-11-05,2023-11-12,silver3,fac,rapunzel,1,1,100.0,1,0,0,0,1,0,0,1,1,0,0,0
2023-11-05,2023-11-12,silver3,strato,rapunzel,1,0,0.0,1,1,0,0,0,0,1,0,0,0,1,0
2023-11-05,2023-11-12,silver3,fac,nui,1,0,0.0,0,1,1,0,0,0,0,0,0,0,1,1
2023-11-05,2023-11-12,silver3,strato,wolfgang,2,0,0.0,1,0,1,0,0,0,0,0,1,0,1,0
2023-11-05,2023-11-12,silver3,proto,wolfgang,1,0,0.0,1,0,1,0,0,0,0,0,0,1,0,1
2023-11-05,2023-11-12,silver3,sunset,robin,1,0,0.0,0,1,0,0,1,0,1,0,1,0,0,0
2023-11-05,2023-11-12,silver3,fac,octavia,1,0,0.0,0,0,0,1,1,0,0,0,0,1,1,0
2023-11-05,2023-11-12,silver3,night,octavia,1,0,0.0,0,0,0,1,1,0,0,0,0,1,1,0
2023-11-05,2023-11-12,silver3,strato,octavia,1,0,0.0,0,0,0,1,1,0,0,0,0,1,1,0
2023-11-05,2023-11-12,silver3,sunset,jacko,1,1,100.0,0,0,1,0,1,0,0,1,1,0,0,0
